Aeg;Mis koolis laps käib?;Mis on lapse sugu? ;Mitmendas klassis laps õpib?;Kui pikk on lapse koolitee?;Kui tihti sõidetakse autoga kooli?;Kui tihti sõidab ühistranspordiga kooli?;Kui tihti läheb jalgsi kooli?;Kui tihti sõidab jalgrattaga kooli?;Kui tihti läheb motoriseeritud kaherattalisega kooli?;Kui tihti sõidab ise kooli?;Miks just see vahend kooli minekuks?;Kui tihti tuleb autoga koolist?;Kui tihti viiakse autoga kuni ühistranspordi peatuseni?;Kui tihti tuleb ühistranspordiga koolist?;Kui tihti jalgsi koolist?;Kui tihti tuleb jalgrattaga koolist?;Kui tihti tuleb motoriseeritud kaherattalisega koolist?;Kui tihti sõidab ise koolist?;Miks just see vahend koolist tulemiseks?;Kas kasutate lapse kooli viimiseks või koolist toomiseks autot?;Kui turvaliseks hindate kooliteed viies last kooli autoga?;Milliseid ohte oskate välja tuua?;Kui palju aega kulub teil tavaliselt autoga lapse kooli viimiseks / koolist koju toomiseks;Mis põhjustel last autoga kooli viiakse?;Kui oluliseks peate koolitee valikul mõju lapse tervisele?;Kui oluliseks peate koolitee valikul mõju keskkonnale?;Kas ja mis teie elus muutuks kui teie laps iseseisvalt rohkem koolis käiks;Kui palju aega kulub lapsel tavaliselt iseseisvalt kooli minemiseks / koolist koju tulemiseks?;Kas ja mis tingimustel sa oleks laps valmis/nõus rohkem iseseisvalt koolis käima?;Kui heaks hindad lapse liikluskäitumist?;Kui palju keskmiselt liigub laps (õues / trennid jms) igapäevaselt?;Kui turvaliseks hindad lapse kooliteed kui läheb kooli iseseisvalt (jalgsi jalgrattaga ühistranspordiga vms)?;Kas kooliteel esineb järgnevaid ohte? Märgi kõik ohud;Kui palju tekitab teile muret lapse turvalisuse osas see et laps iseseisvalt liigeldes liigselt nutitelefoni kasutab?;Milliseid ohtlikke liiklussituatsioone olete kooli ümbruses tähele pannud?;Milline on teie enda liikluskäitumine kooli ümbruses?;Kas teie hinnangul saaks kool midagi kooli ümbruse ohutustamiseks teha?;Kas teie hinnangul saate ka ise midagi kooli ümbruse ohutustamiseks teha?;Milliseid muid lahendusi pakute välja selleks et kooli ümbrust ohutumaks muuta?
11/14/2019 13:41:40;Tallinna Järveotsa Gümnaasium;Naine;4.-6.;Kuni 1 km;harva;harva;tihti;harva;mitte kunagi;mitte kunagi;Ohutu ja kooli ligidus.;harva;mitte kunagi;harva;tihti;harva;mitte kunagi;mitte kunagi;Ei erine.;Viin autoga kooli (isegi kui vahel harva);täiesti ohutu;;alla 5 minuti;Viime halva ilma korral;pean väga oluliseks;pean väga oluliseks;Ei sõltuks minu aeg lastest.;11-20 minutit;Kindlasti on, laps ise soovib.;3;46-60 minutit;väga turvaline;Minu arvates ei ole lapsel kooliteel mingeid ohte;4;Hommikuti on palju autosid ja tähelepanu võib hajuda.;Ei pargi, lasen lapsel väljuda lähedaloleva kortermaja ees.;Võimalik.;Kindlasti, mitte autoga hommikuti last viia.;Vähem autodega sõitmist.
11/14/2019 13:54:32;Tallinna Järveotsa Gümnaasium;Naine;4.-6.;5-10 km;nii ja naa;harva;harva;mitte kunagi;mitte kunagi;mitte kunagi;Autoga on mugav ja turvaline;tihti;mitte kunagi;harva;harva;mitte kunagi;mitte kunagi;mitte kunagi;;Viin autoga kooli (isegi kui vahel harva);täiesti ohutu;;5-10 minutit;Sest nii on ohutum;nii ja naa;nii ja naa;Lapsel ja minul on nii mugavam, kui viin autoga kooli;11-20 minutit;Ei tea;4;31-45 minutit;nii ja naa;Reguleerimata ülekäigurajad, Väikesed ohutussaared suure liiklusega teel, Suurem oht langeda kuriteo ohvriks;5;Autojuhid sõidavad tihti liiga kiiresti;Ei pargi kooli juures;Parkimiskohti võiks olla koolis olla rohkem;Ei ;
11/14/2019 15:11:42;Tallinna Järveotsa Gümnaasium;Mees;7.-9.;Üle 10 km;mitte kunagi;alati;alati;mitte kunagi;mitte kunagi;mitte kunagi;sõidab bussiga kooli ja tagasi koju;mitte kunagi;mitte kunagi;alati;alati;mitte kunagi;mitte kunagi;mitte kunagi;ise läheb bussi peale;Ei kasuta lapse transportimiseks autot;;;;;;;;31-45 minutit;käibki ise;5;rohkem kui 60 minutit;väga turvaline;Reguleerimata ülekäigurajad, Ülekäigurajal on parkivate sõidukite tõttu nähtavus piiratud, Paljud täiskasvanud näitavad oma liikluskäitumisega lastele halba eeskuju, Lubatud sõidukiirust ületavad juhid;5;kihutavad autod mikrorajooni teedel;liiklen ühistranspordiga ja jalgsi;ettepanekuid nt lamava politseiniku paigaldamiseks ja kiirust piiravate märkide paigaldamiseks;käituda liikluskuulekalt;vähendada autode arvu haridusasutuse läheduses
11/19/2019 9:08:55;Tallinna Järveotsa Gümnaasium;Naine;4.-6.;1-5 km;nii ja naa;tihti;harva;harva;mitte kunagi;mitte kunagi;Laps on alaealine ja ei sõida ise autoga;nii ja naa;harva;tihti;harva;harva;mitte kunagi;mitte kunagi;;Viin autoga kooli (isegi kui vahel harva);üsna ohutu;;5-10 minutit;Viime halva ilma korral, Sest laste kool jääb lapsevanema töö marsruudile (või enamvähem), Kui lapsed paluvad, Kui oleme hiljaks jäämas, Kui lapsed on hommikul väga väsinud;nii ja naa;nii ja naa;Enamus ajast käib iseseisvalt;21-30 minutit;Ta on nõus iseseisvalt käima;5;rohkem kui 60 minutit;turvaline;Halvasti valgustatud tänavad, Pööret lõpetavad juhid ei anna lastele teed, Paljud täiskasvanud näitavad oma liikluskäitumisega lastele halba eeskuju, Lubatud sõidukiirust ületavad juhid;3;Ei ole märganud;Värava taha pargin auto;;;
11/19/2019 9:22:34;Tallinna Järveotsa Gümnaasium;Naine;4.-6.;5-10 km;alati;harva;mitte kunagi;mitte kunagi;mitte kunagi;mitte kunagi;Kõige kiirem viis kooli saada on autoga, sest bussiga minnes oleks ärkamine väga vara.;harva;mitte kunagi;tihti;mitte kunagi;mitte kunagi;mitte kunagi;mitte kunagi;;Viin autoga kooli (isegi kui vahel harva);üsna ohutu;;11-20 minutit;Sest laste kool jääb lapsevanema töö marsruudile (või enamvähem);pean väga oluliseks;pean väga oluliseks;Ei muutu midagi;31-45 minutit;Oleks nõus;4;46-60 minutit;ohtlik;Suurem oht langeda kuriteo ohvriks;4;Lapsevanemad sõidavad autodega üle lubatud piirkiiruse;Väljaspoole kooli territooriumi pargin;Näiteks kooli parklasse tõkkepuu panna, sest siiani sõidavad sinna kihutavad lapsevanemad (kuigi on keelatud);;
11/19/2019 9:35:15;Tallinna Järveotsa Gümnaasium;Naine;10.-12.;1-5 km;mitte kunagi;harva;alati;mitte kunagi;mitte kunagi;mitte kunagi;Kiiremini ja turvalisem;mitte kunagi;mitte kunagi;harva;alati;mitte kunagi;mitte kunagi;mitte kunagi;Sama;Ei kasuta lapse transportimiseks autot;;;;;;;;5-10 minutit;Alati ise;4;5-10 minutit;nii ja naa;Reguleerimata ülekäigurajad, Pööret lõpetavad juhid ei anna lastele teed, Väikesed ohutussaared suure liiklusega teel, Suurem oht langeda kuriteo ohvriks, Paljud täiskasvanud näitavad oma liikluskäitumisega lastele halba eeskuju, Lubatud sõidukiirust ületavad juhid;5;Ei pannud;Kaupluse parklas;;;
11/19/2019 9:58:15;Tallinna Järveotsa Gümnaasium;Naine;4.-6.;1-5 km;mitte kunagi;harva;alati;mitte kunagi;mitte kunagi;mitte kunagi;Turvalisem;mitte kunagi;mitte kunagi;harva;alati;mitte kunagi;mitte kunagi;mitte kunagi;Turvalisem;Ei kasuta lapse transportimiseks autot;;;;;;;;5-10 minutit;Alati ise;4;5-10 minutit;nii ja naa;Reguleerimata ülekäigurajad, Pööret lõpetavad juhid ei anna lastele teed, Väikesed ohutussaared suure liiklusega teel, Suurem oht langeda kuriteo ohvriks, Paljud täiskasvanud näitavad oma liikluskäitumisega lastele halba eeskuju, Lubatud sõidukiirust ületavad juhid;5;Korras;Pargin koolist eemale;;;
11/19/2019 10:06:32;Tallinna Järveotsa Gümnaasium;Naine;4.-6.;Kuni 1 km;mitte kunagi;mitte kunagi;alati;mitte kunagi;mitte kunagi;mitte kunagi;Kool asub kodust kiviviske kaugusel.;mitte kunagi;mitte kunagi;mitte kunagi;alati;mitte kunagi;mitte kunagi;mitte kunagi;;Ei kasuta lapse transportimiseks autot;;;;;;;;5-10 minutit;Käibki iseseisvalt.;5;46-60 minutit;turvaline;Lubatud sõidukiirust ületavad juhid;2;Õuealal kihutavad autod.;Ei sõida autoga;Kool on tubli ja juba keelanud ära autoga laste ukseette sõidutamise, et vältida ohtlike olukordi kooli õuealal.;Riputan lapsele helkuri külge.;Lamavad politseinikud ennem ülekäiguradasid. Parem valgustus. 
11/19/2019 10:07:38;Tallinna Järveotsa Gümnaasium;Mees;4.-6.;1-5 km;mitte kunagi;alati;harva;harva;mitte kunagi;mitte kunagi;Peres puudub auto.;mitte kunagi;mitte kunagi;alati;harva;harva;mitte kunagi;mitte kunagi;;Ei kasuta lapse transportimiseks autot;;;;;;;;11-20 minutit;Ta on täielikult iseseisev.;4;31-45 minutit;turvaline;Reguleerimata ülekäigurajad, Pööret lõpetavad juhid ei anna lastele teed, Paljud täiskasvanud näitavad oma liikluskäitumisega lastele halba eeskuju, Lubatud sõidukiirust ületavad juhid, Vägapalju lapsevanemaid kes  sõidutavad autodega oma lapsi otse kooli treppi!!!  ;4;Kooli teritoorjumi sõitvad autod. Siis  hakkavad sealt välja kakerdama ,aga samal ajal tulevad  jalksi tulevad  lapsed ,kes on alles unised  või juba ülimeelikus tujus. ;Liigun jala või bussiga.; Raske öelda,   midagi kindlasti.;Vist mitte.; Mõtteid on palju  aga  teades,et need ei vii kuhugi siis   ei hakka pakkuma.
11/19/2019 15:11:53;Tallinna Järveotsa Gümnaasium;Naine;4.-6.;1-5 km;nii ja naa;nii ja naa;mitte kunagi;harva;mitte kunagi;mitte kunagi;Autoga sõltuvalt ilmast ja kaasa võetavate asjade raskusest. Tagasi alati ühistranspordiga;harva;mitte kunagi;tihti;mitte kunagi;harva;mitte kunagi;mitte kunagi;;Viin autoga kooli (isegi kui vahel harva);üsna ohutu;Autost koolin minek mööda autosid täis õueala, puudub kõnnitee;11-20 minutit;Viime halva ilma korral, Sest laste kool jääb lapsevanema töö marsruudile (või enamvähem), Kui lapsed paluvad, Kui oleme hiljaks jäämas, Kui lapsed on hommikul väga väsinud;nii ja naa;ei pea väga oluliseks;Muretseksin rohkem, laps liikleb jalgsi autode vahel õismäe majade vahel. Pimedas kogunevad kambad.;21-30 minutit;Kergem koolikott. Kehalise kasvatuse + trenniasjad, palju kotte. Iseenesest ei ole laps ise kooli mineku vastu kuid kui me oleme nõus viima, siis ära ei ütle;4;rohkem kui 60 minutit;nii ja naa;Reguleerimata ülekäigurajad, Halvasti valgustatud tänavad, Pööret lõpetavad juhid ei anna lastele teed, Väikesed ohutussaared suure liiklusega teel, Suurem oht langeda kuriteo ohvriks, Sõidukijuhid sõidavad tihti punase fooritulega ristmikule, mida lapsed peavad ületama, Ülekäigurajal on parkivate sõidukite tõttu nähtavus piiratud, Lubatud sõidukiirust ületavad juhid;5;Autojuht ei märka last. Kiiruse ületamine. Paldiski maanteel eiratakse punast tuld;Elumaja hoovialale;Ei;Ei ;Valgustus, kõnniteed, lamavad politseinikud
